"","occurrenceID","individualCount","sex","organismID","eventDate","year","month","day","waterBody","countryCode","decimalLatitude","decimalLongitude","scientificName"
"461",907,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.6737,-175.873,"Carcharodon carcharias (Linnaeus, 1758)"
"462",29,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.0507,-176.262,"Carcharodon carcharias (Linnaeus, 1758)"
"463",166,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.1693,-176.314,"Carcharodon carcharias (Linnaeus, 1758)"
"464",465,1,"FEMALE","Shark 78469",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.3019,-177.016,"Carcharodon carcharias (Linnaeus, 1758)"
"465",1002,1,"MALE","Shark 88234",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.364,168.177,"Carcharodon carcharias (Linnaeus, 1758)"
"466",1185,1,"FEMALE","Shark 78475",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.8897,167.8,"Carcharodon carcharias (Linnaeus, 1758)"
"467",857,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-43.8509,-176.467,"Carcharodon carcharias (Linnaeus, 1758)"
"468",1134,1,"MALE","Shark 78476",2009,2009,NA,NA,"Pacific Ocean","NZ",-31.5631,171.537,"Carcharodon carcharias (Linnaeus, 1758)"
"469",564,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-45.6741,167.224,"Carcharodon carcharias (Linnaeus, 1758)"
"470",807,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.06,-176.287,"Carcharodon carcharias (Linnaeus, 1758)"
"471",213,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.9955,-175.045,"Carcharodon carcharias (Linnaeus, 1758)"
"472",64,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-43.9731,-175.524,"Carcharodon carcharias (Linnaeus, 1758)"
"473",114,1,"FEMALE","Shark 57035",2005,2005,NA,NA,"Pacific Ocean","NZ",-43.9032,-176.502,"Carcharodon carcharias (Linnaeus, 1758)"
"474",906,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.6784,-175.792,"Carcharodon carcharias (Linnaeus, 1758)"
"475",28,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.087,-175.77,"Carcharodon carcharias (Linnaeus, 1758)"
"476",514,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-45.2497,167.978,"Carcharodon carcharias (Linnaeus, 1758)"
"477",165,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-45.753,-175.312,"Carcharodon carcharias (Linnaeus, 1758)"
"478",464,1,"FEMALE","Shark 78469",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.4424,-176.147,"Carcharodon carcharias (Linnaeus, 1758)"
"479",955,1,"FEMALE","Shark 88235",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.912,168.257,"Carcharodon carcharias (Linnaeus, 1758)"
"480",856,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-43.8663,-176.573,"Carcharodon carcharias (Linnaeus, 1758)"
"481",1001,1,"MALE","Shark 88234",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.0713,167.768,"Carcharodon carcharias (Linnaeus, 1758)"
"482",113,1,"FEMALE","Shark 57035",2005,2005,NA,NA,"Pacific Ocean","NZ",-43.9915,-175.836,"Carcharodon carcharias (Linnaeus, 1758)"
"483",1133,1,"MALE","Shark 78476",2009,2009,NA,NA,"Pacific Ocean","NZ",-36.3192,172.448,"Carcharodon carcharias (Linnaeus, 1758)"
"484",1184,1,"FEMALE","Shark 78475",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.1424,168.049,"Carcharodon carcharias (Linnaeus, 1758)"
"485",806,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.1736,-176.563,"Carcharodon carcharias (Linnaeus, 1758)"
"486",212,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.9471,-175.378,"Carcharodon carcharias (Linnaeus, 1758)"
"487",563,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-46.0312,167.673,"Carcharodon carcharias (Linnaeus, 1758)"
"488",63,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-43.9712,-175.397,"Carcharodon carcharias (Linnaeus, 1758)"
"489",513,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-46.9083,168.255,"Carcharodon carcharias (Linnaeus, 1758)"
"490",905,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.6159,-175.997,"Carcharodon carcharias (Linnaeus, 1758)"
